id,name,category_name,price,quantity_sold
276016788,Cambridge Primary Science Learner's Book 1 With Digital Access (1 Year) 2nd Edition,Sách nước ngoài,550100,4
274675432,That's Not My Lemur…,Sách nước ngoài,186200,1
274468782,Gold Experience 2nd Edition B1 Student's Book & Interactive eBook With Digital Resources & App,Sách nước ngoài,377500,6
274387478,Sách The P. K. Pinkerton Mysteries: The Case Of The Pistol-Packing Widows,Sách nước ngoài,146000,6
273313471,The 80/20 Principle: The Secret To Achieving More With Less (Expanded and Updated),Sách nước ngoài,399000,5
271334443,Woman In White,Sách nước ngoài,169000,3
270073012,Hilo Book 3: The Great Big Boom,Sách nước ngoài,279000,4
263100996,Weird But True! Christmas: 300 Festive Facts To Light Up The Holidays,Sách nước ngoài,203700,2
170772544,Hooray Let's Play Level A Flashcards,Sách nước ngoài,226000,4
279237202,Sách ngoại văn: Sách Giáo Trình Học Tiếng Anh Cấp 1 - Look Ame,Sách nước ngoài,243000,0
279082230,Sách - The Book You Wish Your Parents Had Read by Philippa Perry - Parenting| Nonfiction| Psychology,Sách nước ngoài,420000,2
279046024,Sách ngoại văn: 仮面ライダーガッチャード特写写真集 - Kamen Raidaagacchaado Toku Utsushi Shashinshuu - Kamen Rider Gotchard Photobook: FRIENDSHIP (DETAIL OF HEROES),Sách nước ngoài,1182000,0
279041521,Sách ngoại văn: The Voyage Of The Sable Keech,Sách nước ngoài,356100,0
279040411,Sách ngoại văn: Gridlinked,Sách nước ngoài,370900,1
279036392,Sách ngoại văn: Children Of Blood And Bone,Sách nước ngoài,345000,1
278775921,Sách - Women in Love by D.H. Lawrence - Classics/Fiction/Literature book in English - Ngoại Văn,Sách nước ngoài,250000,0
278757705,Sách - Devils: A Novel by Fyodor Dostoevsky | Classics Fiction / Russian Literature,Sách nước ngoài,140000,0
278724380,Sách - Peanuts Boxed Set: The Classic Peanuts Collection by Charles Schulz / Children English Books,Sách nước ngoài,480000,3
278600343,Algorithmic Trading Theory and Practice - A Practical Guide With Applications On The Vietnamese Stock Market,Sách nước ngoài,721000,3
277778981,Sách - Physics: A complete Introduction (Teach Yourself) by Jim Breithaupt - Sách ngoại văn,Sách nước ngoài,350000,2
277741437,Combo truyện đọc Shakespeare Graded Readers - CEFR B2,Sách nước ngoài,156000,1
276429468,Great Writing 3 - Student's Book + Spark Sticker (5th Edition),Sách nước ngoài,441700,7
274677801,Kimi No Na Wa - Your Name (Kadokawa Tsubasa Bunko) (Japanese Edition),Sách nước ngoài,286300,1
274676683,All The Colors / De Colores: Bilingual Nursery Rhymes,Sách nước ngoài,107800,1
274675071,The Thief Who Sang Storms,Sách nước ngoài,212800,1
274122393,Activity Book: Fabulous,Sách nước ngoài,209000,0
273317757,Diary Of A Wimpy Kid #4: Dogs Day (US Edition),Sách nước ngoài,179000,11
263440365,Artbook - Sách Tiếng Anh - Lost Beauties : 50 Cars that Time Forgot,Sách nước ngoài,1460000,2
262872418,The Miracle Of Mindfulness: The Classic Guide to Meditation by the World's Most Revered Master,Sách nước ngoài,299000,16
252458238,My Dress-Up Darling TV Anime Official Fanbook (Japanese Edition),Sách nước ngoài,676200,0
