id,name,category_name,current_discount,current_probability,optimal_discount,optimal_probability,improvement,recommend_change
272854044,Sách Tiếng Anh Giao Tiếp Bệnh Viện dành cho người mới bắt đầu - Tác giả BS. Đỗ Trung Kiên,Sách tiếng Việt,15,0.3302542195642011,20,0.4473595038017651,0.117105284237564,True
272447903,Sách Đừng nhặt bạn trai trong thùng rác,Sách tiếng Việt,29,0.22709204430052501,20,0.36705296794204584,0.13996092364152082,True
263070154,Sách Giải mã Hoóc-môn Dopamine,Sách tiếng Việt,23,0.46761318798392126,45,0.6647986135526502,0.19718542556872898,True
262304692,Doraemon - Chú Mèo Máy Đến Từ Tương Lai Tập 37,Sách tiếng Việt,4,0.011348380079270826,45,0.3539362254926328,0.342587845413362,True
242085691,Doraemon Tập 6: Nobita Và Cuộc Chiến Vũ Trụ [Tái Bản 2023],Sách tiếng Việt,5,0.002352941176470588,5,0.002352941176470588,0.0,False
195291930,Sách Bốn Thỏa Ước,Sách tiếng Việt,23,0.44711397087052446,23,0.44711397087052446,0.0,False
190861557,Sách Yêu Những Ngày Nắng Chẳng Ghét Những Ngày Mưa,Sách tiếng Việt,11,0.17039102289100247,20,0.3865998545987893,0.21620883170778685,True
139303869,Sách Nghệ Thuật Tinh Tế Của Việc Đếch Quan Tâm (Tái Bản),Sách tiếng Việt,25,0.45502361907727606,25,0.45502361907727606,0.0,False
87391039,Sách Thuật Yêu Đương (Tái Bản),Sách tiếng Việt,18,0.4439470633073677,18,0.4439470633073677,0.0,False
74021317,Sách Cây Cam Ngọt Của Tôi,Sách tiếng Việt,25,0.4549493743075979,25,0.4549493743075979,0.0,False
73207240,Sách Xa Ngoài Kia Nơi Loài Tôm Hát - Where The Crawdads Sing,Sách tiếng Việt,10,0.3106955881456051,45,0.6785486135526503,0.3678530254070452,True
72202103,Sách Con Chim Xanh Biếc Bay Về (Nguyễn Nhật Ánh) (Bìa Mềm),Sách tiếng Việt,18,0.4104008760220909,18,0.4104008760220909,0.0,False
57325187,Sách Người Giàu Có Nhất Thành Babylon (Tái Bản 2020),Sách tiếng Việt,23,0.4284374052874822,23,0.4284374052874822,0.0,False
