id,name,feature_name,feature_name_original,shap_value,feature_value,shap_value_percent
383391,Thần Đồng Đất Việt 28 - Bí Mật Bong Bóng,Thể loại: Sách nước ngoài,cat_Sách nước ngoài,-0.024856207691066674,False,3.701928397667995
383391,Thần Đồng Đất Việt 28 - Bí Mật Bong Bóng,Thể loại: Sách giáo khoa,cat_Sách giáo khoa,-0.010338593298631692,False,1.5397655426696455
383391,Thần Đồng Đất Việt 28 - Bí Mật Bong Bóng,"Thể loại: Truyện tranh, Manga","cat_Truyện tranh, Manga",0.006723679839776627,True,1.0013828997994159
393972,Sách Oxford Learner's Pocket Verbs And Tenses,Thể loại: Sách nước ngoài,cat_Sách nước ngoài,0.11615780418649994,True,22.46326903688564
393972,Sách Oxford Learner's Pocket Verbs And Tenses,Có đánh giá,has_rating,0.09681416155980187,1,18.72248337448425
393972,Sách Oxford Learner's Pocket Verbs And Tenses,Điểm đánh giá,rating_average,0.09579482925469941,5.0,18.525358988672497
393972,Sách Oxford Learner's Pocket Verbs And Tenses,Mức giảm giá,discount_rate,0.08202140467174607,10,15.861774357980122
393972,Sách Oxford Learner's Pocket Verbs And Tenses,Thể loại: Sách tiếng Việt,cat_Sách tiếng Việt,0.06853199617188667,False,13.253114402646613
393972,Sách Oxford Learner's Pocket Verbs And Tenses,Giá bán,price,0.028487761257616494,273200,5.509128292068564
393972,Sách Oxford Learner's Pocket Verbs And Tenses,"Thể loại: Truyện tranh, Manga","cat_Truyện tranh, Manga",0.027341134964814835,False,5.2873870575440565
393972,Sách Oxford Learner's Pocket Verbs And Tenses,Thể loại: Sách giáo khoa,cat_Sách giáo khoa,0.0019519763293638715,False,0.3774844897182484
393976,Sách Oxford Learner's Pocket Word Skills,Có đánh giá,has_rating,0.08915694313209525,1,24.857412093740404
393976,Sách Oxford Learner's Pocket Word Skills,Điểm đánh giá,rating_average,0.08059355868269132,5.0,22.469896677688254
393976,Sách Oxford Learner's Pocket Word Skills,Thể loại: Sách nước ngoài,cat_Sách nước ngoài,0.07439955372634686,True,20.74297639193545
393976,Sách Oxford Learner's Pocket Word Skills,Mức giảm giá,discount_rate,-0.04766499822523145,0,13.28924547779231
393976,Sách Oxford Learner's Pocket Word Skills,Thể loại: Sách tiếng Việt,cat_Sách tiếng Việt,0.029435886119631778,False,8.206875717306849
393976,Sách Oxford Learner's Pocket Word Skills,"Thể loại: Truyện tranh, Manga","cat_Truyện tranh, Manga",0.02870176487317585,False,8.00219895620605
393976,Sách Oxford Learner's Pocket Word Skills,Thể loại: Sách giáo khoa,cat_Sách giáo khoa,-0.007814957281000115,False,2.1788500906876216
393976,Sách Oxford Learner's Pocket Word Skills,Giá bán,price,0.0009058104672360765,298000,0.25254459464307505
401543,Sách Collins Classics: Pride And Prejudice,Điểm đánh giá,rating_average,0.23563450589325308,4.7,31.883134576941966
